#M	 Fx	Fy	Fx	Fy	Nodes	Elements	hmin 	hmax	hmean
20	-0.2033794615136550	-0.1810875852787870	-0.1777895623530190	-0.2569603039051660	767	1638	0.0750004024595780	0.2337647485200510	0.1586759717194330
35	-0.2502568299799380	-0.2109809751944350	-0.1774575236628350	-0.2583512871130720	2093	4365	0.0503853407221760	0.1411334471523660	0.0946592340296970
50	-0.2781449361534730	-0.2235719646963010	-0.1774576312855980	-0.2584383188436770	4139	8532	0.0336288930567220	0.1080573953401480	0.0668360391584560
100	-0.2690947891205800	-0.2326636019425290	-0.1775532275704710	-0.2585604993847790	15724	31952	0.0164926569328130	0.0546702019320680	0.0339842594407400
150	-0.2484780764858050	-0.2388398806189060	-0.1775594070170790	-0.2585848286810430	34666	70086	0.0111754472811800	0.0360154853893220	0.0228137827603940
250	-0.2255689456226900	-0.2446163084534020	-0.1775648056262080	-0.2585863634950900	95814	192882	0.0065995399541970	0.0215964013327410	0.0136886041094910
500	-0.2064585261690020	-0.2513752258125160	-0.1775655309258250	-0.2585871022703680	375502	753508	0.0031267560260920	0.0111564167452030	0.0069036945703360
750	-0.1975889921268650	-0.2536070064937290	-0.1775661516399080	-0.2585869569025470	846313	1696380	0.0019951362321240	0.0073941835066670	0.0045955582792090
1000	-0.1931025927420770	-0.2549841938538040	-0.1775662504266600	-0.2585872353858560	1501477	3007958	0.0015439952782950	0.0056092149716570	0.0034482924633100
